run_id	variant_group_id	gene_symbol	Cerebral cortex	Hippocampal formation	Basal ganglia / striatum	Amygdala	Diencephalic regions	Midbrain	Cerebellum	Whole brain	Embryo
ccg01_ZZZ3_del3	ZZZ3_del3	ZZZ3	0.006855756015	0.00556933875	0.005770444715000001	0.00600278375	0.0065813661	0.0052207708500000005	0.008549958350000001	0.008644163464999998	0.009717345070000001
ccg05_FZD7_del8	FZD7_del8	FZD7	-0.015034437042500001	0.0032100677249999997	-0.00192442535	0.00011533496500000008	0.001060545425	0.0118248463	-0.046326011475	-0.02131830125	-0.018616557065
ccg06_TRAF3IP1_del3	TRAF3IP1_del3	TRAF3IP1	-0.029521971835	-0.026380211560000002	-0.02219241903	-0.029024959035000002	-0.018081724934999998	-0.035755159324999994	-0.043463915645000004	-0.0379243944	-0.00833284845
ccg07_RNPEPL1_del3	RNPEPL1_del3	RNPEPL1	-0.03831469992	-0.03518860025	-0.033808411159999996	-0.034745797435	-0.03381271648	-0.02921889766	-0.03171443945	-0.02846878726	-0.03479826493
ccg08_GSK3B_del1	GSK3B_del1	GSK3B	0.010317131825	0.00872409345	0.0067447424999999995	0.00764718645	0.00762116925	0.0058252812	0.016193300775000002	0.011072844194999999	0.019828081635
ccg09_SPSB4_snv	SPSB4_snv	SPSB4	0.0391643639425	0.038022161024999994	0.035256981895000004	0.038118720365000004	0.0331707001	0.035276054960000004	0.047848582225000005	0.029923141162549998	0.03374868519
ccg10_GPRIN1_del6	GPRIN1_del6	GPRIN1	0.06947655247500001	0.06872251130000001	0.0696010663	0.06568867935	0.07410751725	0.06740719095	0.06463976539749999	0.039750248599999996	0.03086292335
ccg11_AUTS2_del6	AUTS2_del6	AUTS2	-0.00964254147	-0.008982419949999999	-0.00720560537	-0.00828504555	-0.00854825973	-0.010358095000000001	-0.01106894005	-0.010463595105000001	0.00232715905
ccg12_CNTFR_snv	CNTFR_snv	CNTFR	0.00415484610125	0.00698938967	0.00558030603	0.0055864752	0.012245178165	0.01370728048	0.00524279480525	0.012527078725	0.0210161208
ccg13_LOC107984006_BMS1P14_mnv3	LOC107984006_BMS1P14_mnv3	BMS1P14	0.008381605026	0.004467010459	0.00241041187	0.0036041737000000003	0.0043849944699999996	0.002538442585	0.023622632387500002	-0.00084090233	-0.0106334685
ccg14_MSANTD3_del6	MSANTD3_del6	MSANTD3	-0.0104960500875	-0.0089180469465	-0.007656812995000001	-0.009020298295	-0.008786141575	-0.004793047875	-0.0034102052200000003	-0.0035933256	-0.0032711029
ccg15_NKX6-2_del4	NKX6-2_del4	NKX6-2	-0.061430470125	-0.059544680850000004	-0.05737498425	-0.06408017584999999	-0.0598469958	-0.0647781821	-0.073226541125	-0.12803775455	-0.105630399
ccg16_HOXC8_del3	HOXC8_del3	HOXC8	-0.003652095825	-0.00103545191	-0.0024278163499999996	-0.00197982783	-0.0020399093909999996	0.0002799033999999999	-0.003156423575	0.018503099375000002	0.00035095214999999997
ccg17_RBFOX1_del3	RBFOX1_del3	RBFOX1	-0.01460629695	-0.015469550915	-0.01339030224	-0.014061332065000001	-0.013356089600000001	-0.02080440525	-0.05945891065	-0.007655859	0.003189682975
ccg18_SHISA6_del3	SHISA6_del3	SHISA6	-0.0225894455	-0.01688241867	-0.01835542955	-0.018602132525	-0.01851561695	-0.010854423285000001	-0.008826941365	-0.0115824346	-0.015560269499999998
ccg19_PTPRT_del9	PTPRT_del9	PTPRT	-0.0020205676750000004	-0.0141480569	-0.0110386017	-0.0136566163	-0.0012192129999999996	-0.014151454099999999	0.043515086175	0.01043963445	0.014930010050000001
ccg20_DNAJC5_del3	DNAJC5_del3	DNAJC5	0.0034369080874999997	0.00233966118	0.0024499298149999998	0.001141071285	0.00282716752	0.0032486319200000003	0.008640989622500001	0.005291640970000001	-0.005587443595
